published_at,body,location,tags,title,slug,timecode,place
2013-01-01,"Fireworks in Freital, Germany","Freital, Germany",,January 1,01-01,0s,Hotel Leonardo
2013-01-02,"John getting ready to take a run in Altenberg, Germany","Altenberg, Germany",John Daly,January 2,01-02,1s,Altenberg Bobbahn
2013-01-03,John buys a Sexergy energy drink.,"Altenberg, Germany",John Daly,January 3,01-03,2s,Altenberg grocery store
2013-01-04,Preparing our sleds for the race,"Altenberg, Germany",,January 4,01-04,3s,Hotel Sheisenhof
2013-01-05,At the start line on race day,"Altenberg, Germany","Kyle Tress, Tuffy Latour",January 5,01-05,4s,Altenberg Bobbahn
2013-01-06,Driving to Konigssee,"Konigssee, Germany",,January 6,01-06,5s,Car
2013-01-07,"Martin and Raphael dancing, I think.","Konigssee, Germany","Martin Rettl, Raphael Myer",January 7,01-07,6s,Konigssee bobbahn
2013-01-08,Matt and John shooting towards the Eagle’s Nest,"Konigssee, Germany","Matt Antoine, John Daly",January 8,01-08,7s,Lake Konigssee
2013-01-09,"Driving through Berchtesgaden, Germany","Berchtesgaden, Germany",,January 9,01-09,8s,Car
2013-01-10,Hot pepperoni! ,"Konigssee, Germany",Matt Antoine,January 10,01-10,9s,Konigssee store
2013-01-11,Dessert at the Fisher,"Konigssee, Germany",,January 11,01-11,10s,Hotel Alpen Fischer
2013-01-12,The Alps,Switzerland,,January 12,01-12,11s,Car
2013-01-13,Emily almost slips,"St. Moritiz, Switzerland","Matt Antoine, John Daly, Emily Azevedo",January 13,01-13,12s,St. Moritz Olympia Bobbahn
2013-01-14,The Sport Hotel in Igls,"Igls, Austria",,January 14,01-14,13s,Sport Hotel
2013-01-15,Practing the timing in Kreisel,"Igls, Austria","John Daly, Matt Antoine",January 15,01-15,14s,Igls Bobbahn
2013-01-16,Lenny telling Neil the red square joke. ,"Sport Hotel, Igls, Austria",Lenny Kasten,January 16,01-16,15s,Sport Hotel
2013-01-17,Lolo Jones quits bobsled,"Igls, Austria","Lolo Jones, Matt Antoine",January 17,01-17,16s,Igls Bobbahn
2013-01-18,Preparing sleds for the race,"Igls, Austria",Matt Antoine,January 18,01-18,17s,Sport Hotel
2013-01-19,The Austrian Alps,"Igls, Austria",,January 19,01-19,18s,Car
2013-01-20,Spot in the rental car to Winterberg,Germany,Spot,January 20,01-20,19s,Car
2013-01-21,Annie cackles with Michaela,"Winterberg, Germany","Annie O’Shea, Michaela Widmer",January 21,01-21,20s,Winterberg Bobbahn
2013-01-22,The restaurant at the Hotel Winterberg,"Winterberg, Germany",,January 22,01-22,21s,Hotel Winterberg
2013-01-23,The award ceremony in Winterberg,"Winterberg, Germany","David Swift, Dave g, Axel Jung, Alex Gasner, Anton Batuev",January 23,01-23,22s,Winterberg Bobbahn
2013-01-24,The train from Innsbruck,"Innsbruck, Austria",,January 24,01-24,23s,Train Station
2013-01-25,"Flying home to EWR, United 903",Europe,,January 25,01-25,24s,United 903
2013-01-26,Remy and Riley in the backyard,"Ewing, New Jersey","Remington, Riley",January 26,01-26,25s,Home
2013-01-27,Riley closeup,"Ewing, New Jersey",Riley,January 27,01-27,26s,Home
2013-01-28,Remy drinking from a bird fountain,"Ewing, New Jersey",Remington,January 28,01-28,27s,Home
2013-01-29,Dad coming home from work,"Ewing, New Jersey",Dad,January 29,01-29,28s,Home
2013-01-30,Having sliding posters framed,"Ewing, New Jersey",,January 30,01-30,29s,Home
2013-01-31,Mom making breakfast,"Ewing, New Jersey",Mom,January 31,01-31,30s,Home
2013-02-01,Running the dogs,"Ewing, New Jersey","Remington, Riley",February 1,02-01,31s,Home
2013-02-02,"Newark Liberty International to Munich, Germany","Newark, New Jersey",,February 2,02-02,32s,Newark Liberty International Airport
2013-02-03,Munich Holiday Inn Express,"Munich, Germany",,February 3,02-03,33s,Holiday Inn Express
2013-02-04,Flying into Sochi Adler Airport,"Adler, Russia",,February 4,02-04,34s,Hamburg Airways
2013-02-05,First run down the Sochi track dance off,"Krasnaya Polyana, Russia","Noelle Pikus Pace, Katie Uhlaender, Frank Rommel",February 5,02-05,35s,Sanki Sliding Centre
2013-02-06,Martin is shy,"Krasnaya Polyana, Russia","Martin Rettl, Matt Antoine",February 6,02-06,36s,Sanki Sliding Centre
2013-02-07,The Sanki Sliding Centre,"Krasnaya Polyana, Russia",,February 7,02-07,37s,Sanki Sliding Centre
2013-02-08,Happy birthday dear... chef?,"Krasnaya Polyana, Russia","Lenny Kasten, Justin Olsen",February 8,02-08,38s,The Gala Plaza
2013-02-09,Cool Runnings before sliding. How cliché. ,"Krasnaya Polyana, Russia","John Daly, Raphael Myer",February 9,02-09,39s,Sanki Sliding Centre
2013-02-10,Excited to wait around. ,"Krasnaya Polyana, Russia","Janine Flock, Matthias Guggenberger, Matt Antoine",February 10,02-10,40s,Sanki Sliding Centre
2013-02-11,Gangam Style with the Latvians in the party bus. ,"Krasnaya Polyana, Russia","Martins Dukurs, Thomass Dukurs, ",February 11,02-11,41s,Sanki Sliding Centre
2013-02-12,Ivo’s not happy with the conditions. ,"Krasnaya Polyana, Russia",Ivo Ferriani,February 12,02-12,42s,Sanki Sliding Centre
2013-02-13,"Matt’s award ceremony from St. Moritz, the previous year. ","Krasnaya Polyana, Russia","Matt Antoine, Heinz Thoma",February 13,02-13,43s,Sanki Sliding Centre
2013-02-14,Jumping freeze frame in Sochi,"Krasnaya Polyana, Russia","Kyle Tress, John Daly",February 14,02-14,44s,Sanki Sliding Centre
2013-02-15,The WC Overall award ceremony,"Krasnaya Polyana, Russia","Martins Dukurs, Thomass Dukurs",February 15,02-15,45s,Sanki Sliding Centre
2013-02-16,Donna doing.. a magic trick?,"Krasnaya Polyana, Russia","Donna Creighton, Matt Antoine",February 16,02-16,46s,Sanki Sliding Centre
2013-02-17,After party at the Park Inn,"Rosa Khutor, Russia","Skeleton Team, Bobsled Team",February 17,02-17,47s,The Park Inn
2013-02-18,"Charter flight to Munich, Hamburg Air","Adler, Russia",,February 18,02-18,48s,Hamburg Airways
2013-02-19,Dad’s congratulations song,"Ewing, New Jersey",Dad,February 19,02-19,49s,Home
2013-02-20,Framed sliding posters,"Ewing, New Jersey",,February 20,02-20,50s,Home
2013-02-21,Chicken Mcnuggets. ,"Ewing, New Jersey",,February 21,02-21,51s,Home
2013-02-22,Driving home to Lake Placid ,"Lake Placid, New York",,February 22,02-22,52s,Car
2013-02-23,Painting an accent wall,"Lake Placid, New York",Me,February 23,02-23,53s,Apartment
2013-02-24,Morgan reading,"Lake Placid, New York",Morgan Tracey,February 24,02-24,54s,Apartment
2013-02-25,Snowfall in the backyard,"Lake Placid, New York",,February 25,02-25,55s,Apartment
2013-02-26,Working,"Lake Placid, New York",Me,February 26,02-26,56s,Apartment
2013-02-27,The corner store,"Lake Placid, New York",,February 27,02-27,57s,Corner Store
2013-02-28,Movie in bed,"Lake Placid, New York",,February 28,02-28,58s,Apartment
2013-03-01,Korean team dancing to Gangam Style,"Lake Placid, New York",,March 1,03-01,59s,Wise Guys
2013-03-02,Weird air guitar,"Lake Placid, New York","Matt Antoine, Me",March 2,03-02,1m 0s,Apartment
2013-03-03,Debuting the season video,"Lake Placid, New York","Matt Antoine, John Daly, Me",March 3,03-03,1m 1s,The Olympic Training Center
2013-03-04,A small congratulations cake,"Lake Placid, New York",Morgan Tracey,March 4,03-04,1m 2s,Apartment
2013-03-05,Start One in Lake Placid,"Lake Placid, New York",,March 5,03-05,1m 3s,Mt. Van Hoevenberg Track
2013-03-06,Preparing for National Championships,"Lake Placid, New York",Austin McCrary,March 6,03-06,1m 4s,
2013-03-07,Midnight snack (the only day I nearly forget to film a video),"Lake Placid, New York",,March 7,03-07,1m 5s,
2013-03-08,An inappropriate comment at the wrong moment. ,"Lake Placid, New York","Matt Antoine, Me",March 8,03-08,1m 6s,
2013-03-09,"Morgan hiding, having breakfast","Lake Placid, New York",,March 9,03-09,1m 7s,
2013-03-10,"John demonstrates, um, yeah... Sitting in our spot","Lake Placid, New York","Matt Antoine, John Daly, Me",March 10,03-10,1m 8s,
2013-03-11,Lake Placid track,"Lake Placid, New York",,March 11,03-11,1m 9s,
2013-03-12,Cleaning the start,"Lake Placid, New York","Tony Carlino, Mike Delleman, Don Hass",March 12,03-12,1m 10s,
2013-03-13,National Championships medal ceremony,"Lake Placid, New York","Tuffy LaTour, Zach Lund, Brian McDonald, Matt Antoine, John Daly, Kyle Tress",March 13,03-13,1m 11s,
2013-03-14,Playing some Rock Band,"Lake Placid, New York",,March 14,03-14,1m 12s,
2013-03-15,Snowy day,"Lake Placid, New York",,March 15,03-15,1m 13s,
2013-03-16,Morgan washing her car,"Lake Placid, New York",Morgan Tracey,March 16,03-16,1m 14s,
2013-03-17,"Dirty dishes. “Oh, sh..”","Lake Placid, New York",,March 17,03-17,1m 15s,
2013-03-18,Green means go! ,"Lake Placid, New York",,March 18,03-18,1m 16s,
2013-03-19,USA1 testing new equipment,"Lake Placid, New York","Steve Holcomb, Steve Langton, Justin Olsen, Curt Tomasevic",March 19,03-19,1m 17s,
2013-03-20,The start line,"Lake Placid, New York",,March 20,03-20,1m 18s,
2013-03-21,A fast day on the track,"Lake Placid, New York",,March 21,03-21,1m 19s,
2013-03-22,Drinking a Moscow Mule,"Lake Placid, New York",,March 22,03-22,1m 20s,
2013-03-23,Poor Yorrick,"Lake Placid, New York",,March 23,03-23,1m 21s,
2013-03-24,Responsive website redesign,"Lake Placid, New York",,March 24,03-24,1m 22s,
2013-03-25,Scrambled eggs,"Lake Placid, New York",,March 25,03-25,1m 23s,
2013-03-26,Closing day of the season,"Lake Placid, New York",,March 26,03-26,1m 24s,
2013-03-27,Hello Morgan.,"Lake Placid, New York",,March 27,03-27,1m 25s,
2013-03-28,Annie driving us to Plattsburgh. Olsen and eating straight sugar,"Lake Placid, New York","Annie O'Shea, Justin Olsen",March 28,03-28,1m 26s,
2013-03-29,Putting the sled away,"Lake Placid, New York",,March 29,03-29,1m 27s,
2013-03-30,Garbage day. ,"Lake Placid, New York",,March 30,03-30,1m 28s,
2013-03-31,Happy Easter! ,"Lake Placid, New York","Morgan Tracey, Lauren Salter",March 31,03-31,1m 29s,
2013-04-01,Riding the bike to training,"Lake Placid, New York",Kyle Tress,April 1,04-01,1m 30s,
2013-04-02,Cesar tweets at me after seeing my video! ,"Lake Placid, New York",Kyle Tress,April 2,04-02,1m 31s,
2013-04-03,Morgan says it’s good,"Lake Placid, New York",Morgan Tracey,April 3,04-03,1m 32s,
2013-04-04,Getting an adjustment from Dr. Cerrutti.,"Lake Placid, New York","Dr. Cerutti, Kyle Tress",April 4,04-04,1m 33s,
2013-04-05,Morgan is going home,"Lake Placid, New York",Morgan Tracey,April 5,04-05,1m 34s,
2013-04-06,Catching tennis balls from the pitching machine,"Lake Placid, New York",Kyle Tress,April 6,04-06,1m 35s,
2013-04-07,Game of Thrones Season 3 premiere,"Lake Placid, New York",,April 7,04-07,1m 36s,
2013-04-08,Jump shot,"Lake Placid, New York",Kyle Tress,April 8,04-08,1m 37s,
2013-04-09,Ambrose makes a basket. Tips,"Lake Placid, New York","Ambrose Serrano, Brad Deweese, Tom Santagato",April 9,04-09,1m 38s,
2013-04-10,Langdon jumps,"Lake Placid, New York","Steve Langton, Chris Langton",April 10,04-10,1m 39s,
2013-04-11,The Zeo Personal Sleep Coach. ,"Lake Placid, New York",,April 11,04-11,1m 40s,
2013-04-12,Scraping ice off the car on a cold morning,"Lake Placid, New York",Kyle Tress,April 12,04-12,1m 41s,
2013-04-13,Holcomb autographing a picture of Lolo,"Lake Placid, New York",Steve Holcomb,April 13,04-13,1m 42s,
2013-04-14,Watching the Masters,"Lake Placid, New York",,April 14,04-14,1m 43s,
2013-04-15,Bombing at the Boston Marathon,"Lake Placid, New York",,April 15,04-15,1m 44s,
2013-04-16,Hurdle drills for the Gentleman’s Club,"Lake Placid, New York",,April 16,04-16,1m 45s,
2013-04-17,Sprint training for the Gentleman’s Club,"Lake Placid, New York",,April 17,04-17,1m 46s,
2013-04-18,The Prowler. My worst nightmare 4 thursday’s in a row,"Lake Placid, New York","Tom Santagato, Brad Deweese, Chris Langton",April 18,04-18,1m 47s,
2013-04-19,Boston bomber captured,"Lake Placid, New York",,April 19,04-19,1m 48s,
2013-04-20,Light reading,"Lake Placid, New York",,April 20,04-20,1m 49s,
2013-04-21,A Santagato Haircut,"Lake Placid, New York",Tom Santagato,April 21,04-21,1m 50s,
2013-04-22,Driving to the airport,"Lake Placid, New York",,April 22,04-22,1m 51s,
2013-04-23,Morgan arrives early in the morning,"Lake Placid, New York",Morgan Tracey,April 23,04-23,1m 52s,
2013-04-24,Hand in hand,"Lake Placid, New York","Morgan Tracey, Kyle Tress",April 24,04-24,1m 53s,
2013-04-25,Kill me. ,"Lake Placid, New York",Kyle Tress,April 25,04-25,1m 54s,
2013-04-26,A pepperoni pizza for dinner. ,"Lake Placid, New York",,April 26,04-26,1m 55s,
2013-04-27,Morgan starts her own 1SE video. ,"Lake Placid, New York",Morgan Tracey,April 27,04-27,1m 56s,
2013-04-28,High Peaks Gorge,"Lake Placid, New York",,April 28,04-28,1m 57s,
2013-04-29,Chris Langton is explosive. ,"Lake Placid, New York",Chris Langton,April 29,04-29,1m 58s,
2013-04-30,Bear attack? nah just Grastin treatment. ,"Lake Placid, New York","Kyle Tress, John Daly",April 30,04-30,1m 59s,
2013-05-01,"Beef tips (I’m talking about the food, people. Come on!)","Lake Placid, New York","Chris Langton, Steve Langton, Justin Olsen",May 1,05-01,2m 0s,
2013-05-02,MusclePharm supplements. ,"Lake Placid, New York",,May 2,05-02,2m 1s,
2013-05-03,Riding the bike. ,"Lake Placid, New York",,May 3,05-03,2m 2s,
2013-05-04,Memorizing a deck of cards,"Lake Placid, New York",Kyle Tress,May 4,05-04,2m 3s,
2013-05-05,Morgan making dinner,"Lake Placid, New York",Morgan Tracey,May 5,05-05,2m 4s,
2013-05-06,The OTC gym,"Lake Placid, New York",Tom Santagato,May 6,05-06,2m 5s,
2013-05-07,Tom diving into the shot,"Lake Placid, New York",Tom Santagato,May 7,05-07,2m 6s,
2013-05-08,Aerials team on the trampoline,"Lake Placid, New York","Aerials Team, Caleb Pelger",May 8,05-08,2m 7s,
2013-05-09,Tempo and midsection on high visibility yellow day. ,"Lake Placid, New York",Kyle Tress,May 9,05-09,2m 8s,
2013-05-10,Treat day cheat day. ,"Lake Placid, New York",,May 10,05-10,2m 9s,
2013-05-11,Morgan photographing something,"Lake Placid, New York",Morgan Tracey,May 11,05-11,2m 10s,
2013-05-12,Snow in May,"Lake Placid, New York",,May 12,05-12,2m 11s,
2013-05-13,Dr. Langdon. YouTube certified chiropractor. ,"Lake Placid, New York","Chris Langton, John Daly",May 13,05-13,2m 12s,
2013-05-14,Casing the Red Bull truck,"Lake Placid, New York",,May 14,05-14,2m 13s,
2013-05-15,midthigh snatch pulls,"Lake Placid, New York",Kyle Tress,May 15,05-15,2m 14s,
2013-05-16,The OTC cafeteria,"Lake Placid, New York","Ambrose Serrano, Caleb Pelger",May 16,05-16,2m 15s,
2013-05-17,shin splints suck,"Lake Placid, New York",Kyle Tress,May 17,05-17,2m 16s,
2013-05-18,Mirror Lake,"Lake Placid, New York",,May 18,05-18,2m 17s,
2013-05-19,Playing Skyrim,"Lake Placid, New York",,May 19,05-19,2m 18s,
2013-05-20,Tom’s fastball with the PocketRadar,"Lake Placid, New York",Tom Santagato,May 20,05-20,2m 19s,
2013-05-21,A storm is coming,"Lake Placid, New York",,May 21,05-21,2m 20s,
2013-05-22,Jumps,"Lake Placid, New York","Chris Langton, Brad Deweese",May 22,05-22,2m 21s,
2013-05-23,The Walking Dead,"Lake Placid, New York",,May 23,05-23,2m 22s,
2013-05-24,Ballroom dancers,"Lake Placid, New York",,May 24,05-24,2m 23s,
2013-05-25,"snow, snow, 70. ","Lake Placid, New York",,May 25,05-25,2m 24s,
2013-05-26,Star Trek 2 for my birthday,"Lake Placid, New York",,May 26,05-26,2m 25s,
2013-05-27,Whiteface from the OTC,"Lake Placid, New York",,May 27,05-27,2m 26s,
2013-05-28,Spot is helping me with some programming,"Lake Placid, New York",Spot,May 28,05-28,2m 27s,
2013-05-29,Happy Birthday!,"Lake Placid, New York",Morgan Tracey,May 29,05-29,2m 28s,
2013-05-30,Reading George Stephanapolis book,"Lake Placid, New York",,May 30,05-30,2m 29s,
2013-05-31,Tom makes this shot by the way...,"Lake Placid, New York",Tom Santagato,May 31,05-31,2m 30s,
2013-06-01,Blowing out the candles on the first 31 years of my life. ,"Lake Placid, New York",,June 1,06-01,2m 31s,
2013-06-02,The push track complete with trees. ,"Lake Placid, New York",,June 2,06-02,2m 32s,
2013-06-03,iPhone screen repair,"Lake Placid, New York",Kyle Tress,June 3,06-03,2m 33s,
2013-06-04,Annie practicing her Tennis,"Lake Placid, New York",Annie O'Shea,June 4,06-04,2m 34s,
2013-06-05,Air in the tires,"Lake Placid, New York",,June 5,06-05,2m 35s,
2013-06-06,Luge volleyball,"Lake Placid, New York",Luge Team,June 6,06-06,2m 36s,
2013-06-07,Real volleyball. (Women’s Junior Team),"Lake Placid, New York",Junior National Volleyball Team,June 7,06-07,2m 37s,
2013-06-08,Nature of Speed prototypes,"Lake Placid, New York",,June 8,06-08,2m 38s,
2013-06-09,Taco Night. Paralysis by Analysis. ,"Lake Placid, New York",,June 9,06-09,2m 39s,
2013-06-10,Announcing iOS 7,"Lake Placid, New York",,June 10,06-10,2m 40s,
2013-06-11,Game of Thrones Graphic Novels,"Lake Placid, New York",,June 11,06-11,2m 41s,
2013-06-12,Tom getting a little help from Steve,"Lake Placid, New York","Tom Santagato, Steve Langton",June 12,06-12,2m 42s,
2013-06-13,Nap time,"Lake Placid, New York",Morgan Tracey,June 13,06-13,2m 43s,
2013-06-14,How bobsledders add extra weight to workouts,"Lake Placid, New York","Nick Cunnigham, Chris Langton, Brad Deweese, Steve Langton, Katie Eberling",June 14,06-14,2m 44s,
2013-06-15,Happy Birthday Morgan! ,"Lake Placid, New York","Morgan Tracey, Elise Munn",June 15,06-15,2m 45s,
2013-06-16,Knights of the Old Republic... on my iPad?,"Lake Placid, New York",,June 16,06-16,2m 46s,
2013-06-17,Summer training in full swing. ,"Lake Placid, New York","Corey Butner, Tom Santagato, Ambrose Serrano, Caleb Pelger, Brad Deweese",June 17,06-17,2m 47s,
2013-06-18,Spot’s view. ,"Lake Placid, New York",Spot,June 18,06-18,2m 48s,
