published_at,body,location,tags,title,slug,timecode,place
2013-06-19,A ridiculous box jump,"Lake Placid, New York",Steve Langton,June 19,06-19,2m 49s,
2013-06-20,Pizza and the NBA Finals,"Lake Placid, New York",,June 20,06-20,2m 50s,
2013-06-21,Tom lassos Dallas,"Lake Placid, New York","Tom Santagato, Dallas Robinson, Steve Langton",June 21,06-21,2m 51s,
2013-06-22,The Hobbit,"Lake Placid, New York",,June 22,06-22,2m 52s,
2013-06-23,Evening walk around the lake,"Lake Placid, New York",Morgan Tracey,June 23,06-23,2m 53s,
2013-06-24,Building the MVP of NoS,"Lake Placid, New York",,June 24,06-24,2m 54s,
2013-06-25,Olsen does some rehab,"Lake Placid, New York",Justin Olsen,June 25,06-25,2m 55s,
2013-06-26,I’m going to need all the weights in the weight room. ,"Lake Placid, New York","Tom Santagato, Chris Fogt, Justin Olsen",June 26,06-26,2m 56s,
2013-06-27,Morgan running in place,"Lake Placid, New York",Morgan Tracey,June 27,06-27,2m 57s,
2013-06-28,Bed is made!,"Lake Placid, New York",,June 28,06-28,2m 58s,
2013-06-29,Playing some guitar,"Lake Placid, New York",Kyle Tress,June 29,06-29,2m 59s,
2013-06-30,Working remotely ,"Lake Placid, New York",Morgan Tracey,June 30,06-30,3m 0s,
2013-07-01,Red day sprints. ,"Lake Placid, New York",Kyle Tress,July 1,07-01,3m 1s,
2013-07-02,Trying to reduce our items.,"Lake Placid, New York",,July 2,07-02,3m 2s,
2013-07-03,John on the push track,"Lake Placid, New York","John Daly, Tom Santagato",July 3,07-03,3m 3s,
2013-07-04,Happy 4th of July,"Lake Placid, New York",Kyle Tress,July 4,07-04,3m 4s,
2013-07-05,Twins.. as in Arnold and Devito.,"Lake Placid, New York","John Daly, Mike McCarty",July 5,07-05,3m 5s,
2013-07-06,Asiana Airlines crash in SFO,"Lake Placid, New York",,July 6,07-06,3m 6s,
2013-07-07,Studying cellular automata,"Lake Placid, New York",,July 7,07-07,3m 7s,
2013-07-08,Med ball toss,"Lake Placid, New York",,July 8,07-08,3m 8s,
2013-07-09,Battlestar Galactica,"Lake Placid, New York",,July 9,07-09,3m 9s,
2013-07-10,Short cut on a bike is dangerous,"Lake Placid, New York",,July 10,07-10,3m 10s,
2013-07-11,The Lake Placid Olympic Training Center,"Lake Placid, New York",,July 11,07-11,3m 11s,
2013-07-12,Mind runs,"Lake Placid, New York",Kyle Tress,July 12,07-12,3m 12s,
2013-07-13,Office setup,"Lake Placid, New York",,July 13,07-13,3m 13s,
2013-07-14,Appetizers,"Lake Placid, New York",,July 14,07-14,3m 14s,
2013-07-15,PR power clean (130kg) on Combine day,"Lake Placid, New York",Kyle Tress,July 15,07-15,3m 15s,
2013-07-16,Sharknado ,"Lake Placid, New York",,July 16,07-16,3m 16s,
2013-07-17,Swimming in the lake after sharknado wasn’t a good idea,"Lake Placid, New York",Morgan Tracey,July 17,07-17,3m 17s,
2013-07-18,Orthotics fitting,"Lake Placid, New York",Morgan Tracey,July 18,07-18,3m 18s,
2013-07-19,Incredible wind storm,"Lake Placid, New York",,July 19,07-19,3m 19s,
2013-07-20,New Kind of Science,"Lake Placid, New York",,July 20,07-20,3m 20s,
2013-07-21,Riley closeup,"Ewing, New Jersey",Riley,July 21,07-21,3m 21s,
2013-07-22,Ima Car dude gives us a thumb’s up,,,July 22,07-22,3m 22s,
2013-07-23,Oral surgery at Dr. O,,,July 23,07-23,3m 23s,
2013-07-24,The Boys,,,July 24,07-24,3m 24s,
2013-07-25,Reading ‘Salem’s Lot,,,July 25,07-25,3m 25s,
2013-07-26,Showdown.,,,July 26,07-26,3m 26s,
2013-07-27,More Stephen King on Kindle,,,July 27,07-27,3m 27s,
2013-07-28,Dogs staying cool,,,July 28,07-28,3m 28s,
2013-07-29,Remy having a snooze,,,July 29,07-29,3m 29s,
2013-07-30,Morgan and I at the crazy ice cream store in Albany,"Albany, New York",Morgan Tracey,July 30,07-30,3m 30s,
2013-07-31,Track workout. Resting,,,July 31,07-31,3m 31s,
2013-08-01,Mad men. ,,,August 1,08-01,3m 32s,
2013-08-02,Push track gets surfaced,,,August 2,08-02,3m 33s,
2013-08-03,Entrance to our apartment building,,,August 3,08-03,3m 34s,
2013-08-04,Mirror Lake at magic hour,,,August 4,08-04,3m 35s,
2013-08-05,Team camp 80s miracle on ice jerseys,,,August 5,08-05,3m 36s,
2013-08-06,a beautiful day,,,August 6,08-06,3m 37s,
2013-08-07,Usain Antoine,,Matt Antoine,August 7,08-07,3m 38s,
2013-08-08,Gretchen beats up John a little bit,,"Gretchen Lansing, John Daly",August 8,08-08,3m 39s,
2013-08-09,Normatech pants,,,August 9,08-09,3m 40s,
2013-08-10,speech at the Team Camp,,Darrin Steele,August 10,08-10,3m 41s,
2013-08-11,Learning iOS development with Treehouse,,,August 11,08-11,3m 42s,
2013-08-12,Lazlo busting out some USA pushups,,"John Daly, Laszlo Vanderchek",August 12,08-12,3m 43s,
2013-08-13,Popcorn!,,,August 13,08-13,3m 44s,
2013-08-14,Daly curls barbells while steve curls daly,,"John Daly, Steve Langton, Chris Fogt",August 14,08-14,3m 45s,
2013-08-15,Olsen the Giant miltary presses annie in his Hulkamania shirt,,"Annie O'Shea, Justin Olsen",August 15,08-15,3m 46s,
2013-08-16,Ridiculous contraption would have been cool if it worked. ,,Kyle Tress,August 16,08-16,3m 47s,
2013-08-17,PocketRadar on the push track,,"Kyle Tress, Morgan Tracey",August 17,08-17,3m 48s,
2013-08-18,Morgan is going to leave skeleton for the circus,,Morgan Tracey,August 18,08-18,3m 49s,
2013-08-19,A metal splinter won’t come out. Self surgery,,,August 19,08-19,3m 50s,
2013-08-20,Simply Gourmet,,,August 20,08-20,3m 51s,
2013-08-21,Med ball chase,,Kyle Tress,August 21,08-21,3m 52s,
2013-08-22,More professional splinter removal. Still no good.,,"Peter Tooey, Kyle Tress",August 22,08-22,3m 53s,
2013-08-23,Daly updates the record board. ,,John Daly,August 23,08-23,3m 54s,
2013-08-24,Morgan’s ice bath is a little cold. ,,Morgan Tracey,August 24,08-24,3m 55s,
2013-08-25,Tree-lined hill to the cemetary,,,August 25,08-25,3m 56s,
2013-08-26,Tom benches 110kg for 3x800 no problem. ,,"Tom Santagato, Ambrose Serrano",August 26,08-26,3m 57s,
2013-08-27,Tetanus shot,,,August 27,08-27,3m 58s,
2013-08-28,Luge team gets some new speedsuits,,"Luge Team, Erin Hamlin, Preston Griffal",August 28,08-28,3m 59s,
2013-08-29,The offender finally gets dug out of my finger. ,,,August 29,08-29,4m 0s,
2013-08-30,Designing a rails app,,,August 30,08-30,4m 1s,
2013-08-31,Morgan smiles,,Morgan Tracey,August 31,08-31,4m 2s,
2013-09-01,Building a rails app,,,September 1,09-01,4m 3s,
2013-09-02,Confined to the international weight room,,Bobsled Team,September 2,09-02,4m 4s,
2013-09-03,The Sochi countdown clock makes me nervous,,,September 3,09-03,4m 5s,
2013-09-04,Moscow mules in real glasses (copper),,,September 4,09-04,4m 6s,
2013-09-05,Hard Knocks,,,September 5,09-05,4m 7s,
2013-09-06,Ice tub,,,September 6,09-06,4m 8s,
2013-09-07,College Football,,,September 7,09-07,4m 9s,
2013-09-08,Takeout from the pub,,,September 8,09-08,4m 10s,
2013-09-09,Hot tub is a little cold,,,September 9,09-09,4m 11s,
2013-09-10,Flight to North Carolina,North Carolina,,September 10,09-10,4m 12s,United 
2013-09-11,Sled work,"Mooresville, North Carolina",,September 11,09-11,4m 13s,
2013-09-12,Wind tunnel testing,"Mooresville, North Carolina",Kyle Tress,September 12,09-12,4m 14s,
2013-09-13,Wind tunnel goofing off,"Mooresville, North Carolina","John Daly, Matt Antoine, Zach Lund, Grant Schaffer",September 13,09-13,4m 15s,
2013-09-14,Ugh. Candy Crush. ,"Lake Placid, New York",,September 14,09-14,4m 16s,
2013-09-15,I think morgan fell off the couch. ,"Lake Placid, New York",Morgan Tracey,September 15,09-15,4m 17s,
2013-09-16,Laughing,"Lake Placid, New York",Chris Langton,September 16,09-16,4m 18s,
2013-09-17,"It’s video, Zach. Push Champs","Lake Placid, New York","Zach Lund, Skeleton Team",September 17,09-17,4m 19s,
2013-09-18,iOS 7,"Lake Placid, New York",,September 18,09-18,4m 20s,
2013-09-19,Push training,"Lake Placid, New York",Kyle Tress,September 19,09-19,4m 21s,
2013-09-20,The girls stretching and getting sun after training,"Lake Placid, New York","Ambrose Serrano, Morgan Tracey, Gracie Clapp, Annie O’Shea, Megan Sullivan",September 20,09-20,4m 22s,
2013-09-21,Veronica Day at push champs,"Lake Placid, New York",Veronica Day,September 21,09-21,4m 23s,
2013-09-22,Leaves are changing color!,"Lake Placid, New York",,September 22,09-22,4m 24s,
2013-09-23,Delleman rolls out his quad,"Lake Placid, New York",Mike Delleman,September 23,09-23,4m 25s,
2013-09-24,Blankets. ,"Lake Placid, New York",,September 24,09-24,4m 26s,
2013-09-25,Contrast bath,"Lake Placid, New York",,September 25,09-25,4m 27s,
2013-09-26,iPad,"Lake Placid, New York",,September 26,09-26,4m 28s,
2013-09-27,Dance party in the weight room,"Lake Placid, New York","Andreas Drbal, Sam Culliver, Gracie Clapp",September 27,09-27,4m 29s,
2013-09-28,The Legend of Zelda Wind Waker,"Lake Placid, New York",,September 28,09-28,4m 30s,
2013-09-29,Breaking Bad,"Lake Placid, New York",,September 29,09-29,4m 31s,
2013-09-30,Nic gets pterodactyl -ed by cunningham,"Lake Placid, New York","Nic Taylor, Nick Cunnigham",September 30,09-30,4m 32s,
2013-10-01,At the movies,"Lake Placid, New York",Morgan Tracey,October 1,10-01,4m 33s,
2013-10-02,New kindle paperwhite 2,"Lake Placid, New York",,October 2,10-02,4m 34s,
2013-10-03,Working on sleds,"Lake Placid, New York",,October 3,10-03,4m 35s,
2013-10-04,Lifting platform at the USOTC,"Lake Placid, New York",,October 4,10-04,4m 36s,
2013-10-05,Site update,"Lake Placid, New York",,October 5,10-05,4m 37s,
2013-10-06,Fantasy football,"Lake Placid, New York",,October 6,10-06,4m 38s,
2013-10-07,Curt lifting almost every weight in the weight room,"Lake Placid, New York",Curt Tomasevic,October 7,10-07,4m 39s,
2013-10-08,Driving through Lake Placid,"Lake Placid, New York",,October 8,10-08,4m 40s,
2013-10-09,Making chili,"Lake Placid, New York",,October 9,10-09,4m 41s,
2013-10-10,Watching football with Tom and Matt,"Lake Placid, New York","Tom Santagato, Matt Antoine",October 10,10-10,4m 42s,
2013-10-11,Kate and Erin doing some doubles yoga,"Lake Placid, New York","Erin Hamlin, Kate Hanson",October 11,10-11,4m 43s,
2013-10-12,Coding,"Lake Placid, New York",,October 12,10-12,4m 44s,
2013-10-13,Morgan opening up the sliding season,"Lake Placid, New York","Morgan Tracey, Skeleton Team",October 13,10-13,4m 45s,
2013-10-14,Drilling new holes on my sled,"Lake Placid, New York",,October 14,10-14,4m 46s,
2013-10-15,A cloudy day at the top of the track,"Lake Placid, New York",,October 15,10-15,4m 47s,
2013-10-16,Delleman doing a dance. ,"Lake Placid, New York",Mike Delleman,October 16,10-16,4m 48s,
2013-10-17,Trying out both sleds,"Lake Placid, New York",,October 17,10-17,4m 49s,
2013-10-18,My RallyMe video. ,"Lake Placid, New York",Kyle Tress,October 18,10-18,4m 50s,
2013-10-19,Tom fits into his suit “like a sausage”,"Lake Placid, New York",Tom Santagato,October 19,10-19,4m 51s,
2013-10-20,The Randy Price Memorial Award ceremony,"Lake Placid, New York","Skeleton Team, Don Hass, Brian McDonald, Tuffy Latour, Price Family",October 20,10-20,4m 52s,
2013-10-21,First day race results,"Lake Placid, New York",,October 21,10-21,4m 53s,
2013-10-22,New iPads!,"Lake Placid, New York",,October 22,10-22,4m 54s,
2013-10-23,In-N-Out burger,"Salt Lake City, Utah",,October 23,10-23,4m 55s,In-N-Out Burger
2013-10-24,John being interviewed for NBC’s 1st Look,"Park City, Utah",John Daly,October 24,10-24,4m 56s,Park City Lodging
2013-10-25,The Curve 4 singing along to Jefferson Starship,"Park City, Utah","Curve Four, Kyle Tress, Matt Antoine, John Daly, Tom Santagato",October 25,10-25,4m 57s,Utah Olympic Park
2013-10-26,Getting ready for sliding,"Park City, Utah","John Daly, Matt Antoine",October 26,10-26,4m 58s,
2013-10-27,John’s dance,"Park City, Utah",John Daly,October 27,10-27,4m 59s,
2013-10-28,The start house in Park City,"Park City, Utah",Skeleton Team,October 28,10-28,5m 0s,
2013-10-29,Race night,"Park City, Utah",Annie O'Shea,October 29,10-29,5m 1s,
2013-10-30,Naming the teams,"Park City, Utah",Skeleton Team,October 30,10-30,5m 2s,
2013-10-31,The flight home,"SLC, ORD, ALB",,October 31,10-31,5m 3s,United
2013-11-01,Installing Mavericks,"Lake Placid, New York",,November 1,11-01,5m 4s,
2013-11-02,"Playing acoustic Metallica, “Through the Never”","Lake Placid, New York",,November 2,11-02,5m 5s,
2013-11-03,Writing a book,"Lake Placid, New York",,November 3,11-03,5m 6s,
2013-11-04,Packing,"Lake Placid, New York",,November 4,11-04,5m 7s,
2013-11-05,Turboprop to Washington Dulles,"ALB, IAD, MUC",,November 5,11-05,5m 8s,Plane
2013-11-06,Holiday Inn Express Munich,"Munich, Germany",,November 6,11-06,5m 9s,
2013-11-07,Sochi International Airport’s Olympic Rings,"MUC, AER",,November 7,11-07,5m 10s,Plane
2013-11-08,Russian security bench pressing on a plywood bench,"Krasnaya Polyana, Russia","Zach Lund, Brian McDonald",November 8,11-08,5m 11s,
2013-11-09,The team,"Krasnaya Polyana, Russia","Zach Lund, John Daly, Annie O’Shea",November 9,11-09,5m 12s,
2013-11-10,Krasnaya Polyana,"Krasnaya Polyana, Russia",,November 10,11-10,5m 13s,
2013-11-11,Cutting the start groove in Russia,"Krasnaya Polyana, Russia",,November 11,11-11,5m 14s,
2013-11-12,Matt getting his photo taken in front of the countdown clock,"Sochi, Russia","Matt Antoine, John Daly",November 12,11-12,5m 15s,
2013-11-13,Matt deep in thought at lunch,"Rosa Khutor, Russia",Matt Antoine,November 13,11-13,5m 16s,
2013-11-14,Dave Swift sliding through Curve 7,"Krasnaya Polyana, Russia",David Swift,November 14,11-14,5m 17s,
2013-11-15,Matt making an ice bath,"Rosa Khutor, Russia",Matt Antoine,November 15,11-15,5m 18s,
2013-11-16,The russian supermarket,"Rosa Khutor, Russia",Matt Antoine,November 16,11-16,5m 19s,
2013-11-17,"Matt making it rain. Spaceebo, baby!","Rosa Khutor, Russia",Matt Antoine,November 17,11-17,5m 20s,
2013-11-18,Richard and Cheech fixing a broken saddle weld,"Krasnaya Polyana, Russia","Richard, Cheech",November 18,11-18,5m 21s,
2013-11-19,Donna giving me the international sign for hello. ,"Krasnaya Polyana, Russia","Donna Creighton, John Daly",November 19,11-19,5m 22s,
2013-11-20,Flight to Munich over the Black Sea,"AER, MUC ",,November 20,11-20,5m 23s,
2013-11-21,Flight to Canada from London and a long day,"MUC, LHR, YYC",,November 21,11-21,5m 24s,
2013-11-22,Noelle through the straight and into kresiel,"Calgary, Canada",Noelle Pikus Pace,November 22,11-22,5m 25s,
2013-11-23,Olsen prepares for the push champs,,Justin Olsen,November 23,11-23,5m 26s,
2013-11-24,A canadian slider through Curve 7 ,,,November 24,11-24,5m 27s,
2013-11-25,Hitting the speed bumps at about 60. ,,"Matt Antoine, John Daly",November 25,11-25,5m 28s,
2013-11-26,Beautiful calgary sunset,,,November 26,11-26,5m 29s,
2013-11-27,Coach Zach tests out the old legs and almost falls,,Zach Lund,November 27,11-27,5m 30s,
2013-11-28,Thanksgiving burgers,,"John Daly, Matt Antoine",November 28,11-28,5m 31s,
2013-11-29,The first WC of the season (Cassie on the line),,,November 29,11-29,5m 32s,
2013-11-30,Staring at the Rockies with a German coach,YYC - DEN - SLC,,November 30,11-30,5m 33s,
2013-12-01,Driving a BMW,"Park City, UT",,December 1,12-01,5m 34s,
2013-12-02,Training at the Basin,,,December 2,12-02,5m 35s,
2013-12-03,"Feliz Navidad, Ander!",,Ander Mirabell,December 3,12-03,5m 36s,
2013-12-04,Driving through the canyon,,,December 4,12-04,5m 37s,
2013-12-05,John and I might have trashed the condo,,John Daly,December 5,12-05,5m 38s,
2013-12-06,Matt wins a bronze,,Matt Antoine,December 6,12-06,5m 39s,
2013-12-07,Ice build up on the windshield. Ridiculous,SLC-ORD-ALB,John Daly,December 7,12-07,5m 40s,
2013-12-08,My best Daft Punk impression of Get Lucky,"Lake Placid, NY",Kyle Tress,December 8,12-08,5m 41s,
2013-12-09,Preparing my sled,,,December 9,12-09,5m 42s,
2013-12-10,Casino Night for the Whiteface Lodge Christmas Party,,,December 10,12-10,5m 43s,
2013-12-11,Lenny and Matt get into a wrestling match,,"Lenny Kasten, Matt Antoine",December 11,12-11,5m 44s,
2013-12-12,Morgan’s ‘Go USA’ gloves,,Morgan Tracey,December 12,12-12,5m 45s,
2013-12-13,Matt wins Gold in Lake Placid WC,,Matt Antoine,December 13,12-13,5m 46s,
2013-12-14,A snowy day,,,December 14,12-14,5m 47s,
2013-12-15,Watching the Eagles game on Sunday Ticket,,,December 15,12-15,5m 48s,
2013-12-16,Morgan probably dropped something,,Morgan Tracey,December 16,12-16,5m 49s,
2013-12-17,Snowy drive,,,December 17,12-17,5m 50s,
2013-12-18,Tiffany brought us back some real Thai Red Bull,,Tiffany,December 18,12-18,5m 51s,
2013-12-19,Whiteface Lodge benefit for US Sliders,,"Morgan Tracey, Annie O’Shea",December 19,12-19,5m 52s,
2013-12-20,Riley hanging out. ,,Riley,December 20,12-20,5m 53s,
2013-12-21,Mom putting together a puzzle,,Mom,December 21,12-21,5m 54s,
2013-12-22,Jersey Boys in Philadelphia performing Big Girls Dont’ Cry,"Philadelphia, PA. Forest Theater",,December 22,12-22,5m 55s,
2013-12-23,Making homemade chicken fingers,,Mom,December 23,12-23,5m 56s,
2013-12-24,Christmas Eve Dinner,,"Mom, Dad, Phillip, Remington, Riley",December 24,12-24,5m 57s,
2013-12-25,Damn Dog eating wrapping paper,,Riley,December 25,12-25,5m 58s,
2013-12-26,Playing Castle Ravenloft,,,December 26,12-26,5m 59s,
2013-12-27,Dinner with friends at Siam,"Lambertville, NJ","Matt Wiley, Lauren, Alex Palilonis, Brian Servidio",December 27,12-27,6m 0s,
2013-12-28,Interior of United 767-400,EWR,,December 28,12-28,6m 1s,
2013-12-29,Matt eating lunch at the Hotel Winterberg,,Matt Antoine,December 29,12-29,6m 2s,
2013-12-30,John's bobsled mind run,"Winterberg, Germany","Jazmine Fenlator, Elana Meyers, John Daly",December 30,12-30,6m 3s,
2013-12-31,Toast to 2014,Winterberg,"John Daly, Matt Antoine, Chris Fogt",December 31,12-31,6m 4s,